subject,content,bestanswer,ans0,ans1,ans2,ans3,ans4,ans5,ans6,ans7,ans8,ans9
b'Why are yawns contagious?',"b'When people yawn, you see that other people in the room yawn, too.  Why is that?'","b'When your body need more oxygen, you yawn.  <br />\nWhen you yawn, you take more oxygen in the air.  <br />\nIf the density of the oxygen in the air becomes lower, other people (their bodies) can feel that and start to yawn to get more oxygen.<br />\nThat\'s why yawns are contagious. Yawning is extremely contagious -- 55% of people who witness someone yawn will yawn within five minutes. If a visually impaired person hears a tape of someone yawning, he or she is likely to yawn as well. Face it, the likelihood of you making it to the end of this answer without looking like one of these gaping maws is unlikely. <br />\nAlthough the contagious nature of yawning is well established, we know less about why this is so. Researchers are currently giving the topic some serious attention. One theory suggests it\'s a holdover from a period in evolutionary history when yawning served to coordinate the social behavior of a group of animals. A recent study postulates that contagious yawning could be part of the ""neural network involved in empathy."" <br />\n<br />\nWhile the mystery of contagious yawning has yet to be solved, perhaps researchers are closing in on an answer. On the other hand, given the subject matter, we wouldn\'t blame them for falling asleep at the wheel. In the meantime, give the ""yawn challenge"" a try -- it\'s tougher than it looks.'","b'Yawning is extremely contagious -- 55% of people who witness someone yawn will yawn within five minutes. If a visually impaired person hears a tape of someone yawning, he or she is likely to yawn as well. Face it, the likelihood of you making it to the end of this answer without looking like one of these gaping maws is unlikely. <br />\nAlthough the contagious nature of yawning is well established, we know less about why this is so. Researchers are currently giving the topic some serious attention. One theory suggests it\'s a holdover from a period in evolutionary history when yawning served to coordinate the social behavior of a group of animals. A recent study postulates that contagious yawning could be part of the ""neural network involved in empathy."" <br />\n<br />\nWhile the mystery of contagious yawning has yet to be solved, perhaps researchers are closing in on an answer. On the other hand, given the subject matter, we wouldn\'t blame them for falling asleep at the wheel. In the meantime, give the ""yawn challenge"" a try -- it\'s tougher than it looks.'","b""When your body need more oxygen, you yawn.  <br />\nWhen you yawn, you take more oxygen in the air.  <br />\nIf the density of the oxygen in the air becomes lower, other people (their bodies) can feel that and start to yawn to get more oxygen.<br />\nThat's why yawns are contagious.""",None,None,None,None,None,None,None,None
"b""What's the best way to heat up a cold hamburger (In & Out)?""","b""What's the best way to heat up a cold hamburger (In & Out)?""","b'If you must eat a heated In & Out hamburger then I suggest the follow:<br />\nFirst, scrape the ketchup, mayo and any other sauce that is on the hamburger and put it a side. Also take the vegetables out.<br />\nSecond, pre-heat a steak pan; put the hamburger separate form the bun on the hot pan<br />\nThird, heat up both parts of the bun near the hamburger on the same hot pan (you can get some souce from the hamburger on it)<br />\nFourth, you can either put back the original ketchup, mayo and the vegetables or, better yet, get new ones from what you have at home .<br />\nBon Appetite'","b'If you must eat a heated In & Out hamburger then I suggest the follow:<br />\nFirst, scrape the ketchup, mayo and any other sauce that is on the hamburger and put it a side. Also take the vegetables out.<br />\nSecond, pre-heat a steak pan; put the hamburger separate form the bun on the hot pan<br />\nThird, heat up both parts of the bun near the hamburger on the same hot pan (you can get some souce from the hamburger on it)<br />\nFourth, you can either put back the original ketchup, mayo and the vegetables or, better yet, get new ones from what you have at home .<br />\nBon Appetite'","b""probably a microwave. in norway for example, outside of the main cities, because it's so remote, they have frozen hamburgers in roadside joints, and heat them up per request. <br />\n<br />\nas with all microwave heating, it will be a bit soggy...""",None,None,None,None,None,None,None,None
b'Vacation rentals in the Turks and Caicos',"b'We are considering renting a house in the Turks and Caicos... any recommendations of which islands might be best, and good places to rent from?'","b""I like Providenciales best. Beautiful beaches are scattered on all sides of Providenciales, the most spectacular of which is a 12 mile stretch located on Grace Bay, which is protected by a healthy barrier reef. Provo has an 18 hole golf course, a casino, shopping centres, three marinas, a growing number of of bars and excellent restaurants. Provo is also a divers' and water lovers' paradise.""","b""I like Providenciales best. Beautiful beaches are scattered on all sides of Providenciales, the most spectacular of which is a 12 mile stretch located on Grace Bay, which is protected by a healthy barrier reef. Provo has an 18 hole golf course, a casino, shopping centres, three marinas, a growing number of of bars and excellent restaurants. Provo is also a divers' and water lovers' paradise.""",None,None,None,None,None,None,None,None,None
b'what has more caffeine? a double latte or a large coffee?',"b'choosing between a double latte (or similar) and a 16oz cup of drip coffee, which would have more caffeine?'","b'Based on this<br />\n<br />\nhttp://coffeefaq.com/caffaq.html<br />\n<br />\nI would say that a large coffe has about 80-135mg of caffeine, but a double latte (which has 2 espresso shots) has about 200mg+'","b'Based on this<br />\n<br />\nhttp://coffeefaq.com/caffaq.html<br />\n<br />\nI would say that a large coffe has about 80-135mg of caffeine, but a double latte (which has 2 espresso shots) has about 200mg+'","b""Depends on what type of coffee. Typically espresso uses darker roasted blends which actually have less caffeine. FOr example and Italian roast has less caffeine than french roast. It also depends on how strong the coffee is. Here is some more interesting info which will guide you against latte's<br />\nhttp://www.cockeyed.com/inside/coffee/coffee.html<br />\nAnd finally, if you order some complex bullshit like a double-tall, half-caff, skim Mochachino with light foam & two ice-cubes, you are 50% more likely to have someone spit in your drink.""",None,None,None,None,None,None,None,None
b'what convertible has five seats',"b'looking for something that can seat three kids, with seatbelts etc.'","b""My 1973 convertable Cadilac El Camino had no problem holding 6 full-sized adults. [See the picture.]<br />\n<br />\nIt's a bit of a gas guzzler, though...""","b""My 1973 convertable Cadilac El Camino had no problem holding 6 full-sized adults. [See the picture.]<br />\n<br />\nIt's a bit of a gas guzzler, though...""",None,None,None,None,None,None,None,None,None
"b""why doesn't an optical mouse work on a glass table?""",b'or even on some surfaces?',"b'Optical mice use an LED and a camera to rapidly capture images of the surface beneath the mouse.  The infomation from the camera is analyzed by a DSP (Digital Signal Processor) and used to detect imperfections in the underlying surface and determine motion. Some materials, such as glass, mirrors or other very shiny, uniform surfaces interfere with the ability of the DSP to accurately analyze the surface beneath the mouse.  <br />\n<br />\nSince glass is transparent and very uniform, the mouse is unable to pick up enough imperfections in the underlying surface to determine motion.  Mirrored surfaces are also a problem, since they constantly reflect back the same image, causing the DSP not to recognize motion properly. When the system is unable to see surface changes associated with movement, the mouse will not work properly.'","b'Optical mice use an LED and a camera to rapidly capture images of the surface beneath the mouse.  The infomation from the camera is analyzed by a DSP (Digital Signal Processor) and used to detect imperfections in the underlying surface and determine motion. Some materials, such as glass, mirrors or other very shiny, uniform surfaces interfere with the ability of the DSP to accurately analyze the surface beneath the mouse.  <br />\n<br />\nSince glass is transparent and very uniform, the mouse is unable to pick up enough imperfections in the underlying surface to determine motion.  Mirrored surfaces are also a problem, since they constantly reflect back the same image, causing the DSP not to recognize motion properly. When the system is unable to see surface changes associated with movement, the mouse will not work properly.'",None,None,None,None,None,None,None,None,None
b'Why did the U.S Invade Iraq ?',b'Why did the U.S Invade Iraq ?',"b""A small group of politicians believed strongly that the fact that Saddam Hussien remained in power after the first Gulf War was a signal of weakness to the rest of the world, one that invited attacks and terrorism. Shortly after taking power with George Bush in 2000 and after the attack on 9/11, they were able to use the terrorist attacks to justify war with Iraq on this basis and exaggerated threats of the development of weapons of mass destruction. The military strength of the U.S. and the brutality of Saddam's regime led them to imagine that the military and political victory would be relatively easy.""","b""A small group of politicians believed strongly that the fact that Saddam Hussien remained in power after the first Gulf War was a signal of weakness to the rest of the world, one that invited attacks and terrorism. Shortly after taking power with George Bush in 2000 and after the attack on 9/11, they were able to use the terrorist attacks to justify war with Iraq on this basis and exaggerated threats of the development of weapons of mass destruction. The military strength of the U.S. and the brutality of Saddam's regime led them to imagine that the military and political victory would be relatively easy.""",b'Because there is a lot of oil in Iraq.',"b'It is tempting to say that the US invaded Iraq because it has lots of oil, but the US is not a country in a deep economic problem that capturing other country\xe2\x80\x99s oil is an actual need for survival. It is more likely that the Iraq invading Kuwait scenario would fall under that assumption.<br />\nI think that the US government has come to a conclusion that we are on the verge of a war of religions, or more likely ideologies. It would be presumptuous to try and determent a one cause to the coming war. <br />\nI think that the world wide spread of the media with its many forms (Cable, Satellite, Internet, etc.)  have pushed the Moslem regimes to the extreme, fearing that secularity and democratic influence is penetrating their country and will result in an up raising against them. One of the best way to maintain the power that you have and even gain more of it, is by hatred. When the common man is occupied hating an outside enemy, its hatred is kept out side the county and would not be directed towards the regime. <br />\nSo- I believe that the US understands that the fanatic Moslem regimes have already started a war on the democratic world and now is the time to try a fight it.<br />\n<br />\nSo why invade Iraq? Because it is a huge, week Moslem country that thought to be easy to defeat. <br />\nThis is exactly the same reason why Afghanistan was first and Syria is next in line.'","b'I think Yuval is pretty spot on. It\'s a proving ground and a focal point for terror activity that\'s not on American soil. And, because no one liked Saddam Hussein, no other countries (even in the Middle East) were about to rise up and join his side.<br />\n<br />\nRabid speculation: now the Pentagon has a model that says it takes ~5 years, ~$200B and ~2,000 casualties to ""rebuild"" a dictatorship into a democracy. Who\'s next on the list?'",None,None,None,None,None,None
b'best finish for concrete surfaces',b'best finish for concrete surfaces',"b""it depends what you're looking for, and what tolerance you have for cost.<br />\n<br />\nsimple plain finish (and similarly broom finish which is basically going over the wet concrete with a broom to make patterns) are very cheap but also have a basic look (cheap look).<br />\nhigh end finish is imprinted concrete, which can make it look like natual stone or bricks - very flexible. this tends to be MUCH more expensive. <br />\n<br />\nanother thing to consider is that concrete surfaces tend to crack, and this shows at different levels in different finishes. impronted and plain finish tends to show the cracks very prominently. other finishes like exposed aggregate (small pebbles on top of the concrete that are exposed and showing on top) tend to have cracks be less visible.<br />\n<br />\ni attached an example of one company that provides different finishes. from my experience they are way overpriced so you want to shop around.""","b""it depends what you're looking for, and what tolerance you have for cost.<br />\n<br />\nsimple plain finish (and similarly broom finish which is basically going over the wet concrete with a broom to make patterns) are very cheap but also have a basic look (cheap look).<br />\nhigh end finish is imprinted concrete, which can make it look like natual stone or bricks - very flexible. this tends to be MUCH more expensive. <br />\n<br />\nanother thing to consider is that concrete surfaces tend to crack, and this shows at different levels in different finishes. impronted and plain finish tends to show the cracks very prominently. other finishes like exposed aggregate (small pebbles on top of the concrete that are exposed and showing on top) tend to have cracks be less visible.<br />\n<br />\ni attached an example of one company that provides different finishes. from my experience they are way overpriced so you want to shop around.""",None,None,None,None,None,None,None,None,None
b'What is the best off-road motorcycle trail ?',b'long-distance trail throughout CA',b'i hear that the mojave road is amazing!<br />\nsearch for it online.',b'i hear that the mojave road is amazing!<br />\nsearch for it online.',b'Tzeelim army base. Some podra but you can handle it.',None,None,None,None,None,None,None,None
b'What is Trans Fat? How to reduce that?',b'I heard that tras fat is bad for the body.  Why is that? Where can we find it in our daily food?',"b'Trans fats occur in manufactured foods during the process of partial hydrogenation, when hydrogen gas is bubbled through vegetable oil to increase shelf life and stabilize the original polyunsatured oil. The resulting fat is similar to saturated fat, which raises ""bad"" LDL cholesterol and can lead to clogged arteries and heart disease. <br />\n<br />\nUntil very recently, food labels were not required to list trans fats, and this health risk remained hidden to consumers. In early July, FDA regulations changed, and food labels will soon begin identifying trans fat content in processed foods.'","b'Trans fats occur in manufactured foods during the process of partial hydrogenation, when hydrogen gas is bubbled through vegetable oil to increase shelf life and stabilize the original polyunsatured oil. The resulting fat is similar to saturated fat, which raises ""bad"" LDL cholesterol and can lead to clogged arteries and heart disease. <br />\n<br />\nUntil very recently, food labels were not required to list trans fats, and this health risk remained hidden to consumers. In early July, FDA regulations changed, and food labels will soon begin identifying trans fat content in processed foods.'",None,None,None,None,None,None,None,None,None
